id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,faturamento
4,2024-06-21,Cliente_017,Smartphone,Celulares,Sudeste,4.0,2501.76,10007.04
7,2024-06-30,Cliente_039,Monitor,Computadores,Sul,6.0,1078.56,6471.36
11,2024-04-22,Cliente_008,Monitor,Computadores,Sul,10.0,1163.78,11637.8
16,2024-07-04,Cliente_037,Tablet,Celulares,Sudeste,8.0,1540.52,12324.16
17,2024-09-29,Cliente_017,Notebook,Computadores,Norte,8.0,3831.82,30654.56
19,2024-05-06,Cliente_015,Monitor,Computadores,Sudeste,9.0,1182.54,10642.86
21,2024-05-04,Cliente_028,Smartphone,Celulares,Nordeste,10.0,2250.3,22503.0
22,2024-01-28,Cliente_022,Monitor,Computadores,Sudeste,7.0,1188.13,8316.91
23,2024-08-17,Cliente_005,Smartphone,Celulares,Centro-Oeste,4.0,1995.54,7982.16
25,2024-07-24,Cliente_030,Monitor,Computadores,Nordeste,8.0,1193.29,9546.32
26,2024-09-06,Cliente_035,Monitor,Computadores,Sudeste,9.0,1258.27,11324.43
30,2024-12-09,Cliente_001,Smartphone,Celulares,Centro-Oeste,5.0,2131.22,10656.099999999999
32,2024-10-05,Cliente_001,Tablet,Celulares,Norte,5.0,1615.18,8075.900000000001
34,2024-11-20,Cliente_004,Smartphone,Celulares,Sudeste,6.0,2004.37,12026.22
41,2024-12-03,Cliente_018,Tablet,Celulares,Nordeste,4.0,1650.38,6601.52
42,2024-10-01,Cliente_038,Mouse,Periféricos,Nordeste,9.0,1209.295,10883.655
43,2024-06-25,Cliente_025,Notebook,Computadores,Norte,2.0,3601.4,7202.8
44,2024-08-11,Cliente_048,Smartphone,Celulares,Sul,6.0,1899.3,11395.8
45,2024-12-06,Cliente_020,Tablet,Celulares,Norte,7.0,1567.79,10974.529999999999
46,2024-12-22,Cliente_044,Tablet,Celulares,Sul,7.0,1706.14,11942.980000000001
48,2024-04-19,Cliente_043,Monitor,Computadores,Sudeste,8.0,1179.18,9433.44
49,2024-11-13,Cliente_015,Tablet,Celulares,Sul,9.0,1888.48,16996.32
52,2024-12-22,Cliente_030,Smartphone,Celulares,Sul,3.0,2400.71,7202.13
54,2024-03-22,Cliente_041,Monitor,Computadores,Nordeste,9.0,1180.53,10624.77
56,2024-07-15,Cliente_035,Notebook,Computadores,Centro-Oeste,3.0,3133.37,9400.11
58,2024-06-29,Cliente_035,Monitor,Computadores,Norte,8.0,1022.12,8176.96
61,2024-08-24,Cliente_022,Notebook,Computadores,Centro-Oeste,7.0,3117.48,21822.36
62,2024-02-11,Cliente_015,Tablet,Celulares,Sudeste,7.0,1666.23,11663.61
68,2024-08-10,Cliente_035,Tablet,Celulares,Centro-Oeste,8.0,1911.95,15295.6
69,2024-10-30,Cliente_029,Monitor,Computadores,Sul,7.0,1317.26,9220.82
70,2024-12-08,Cliente_014,Headset,Periféricos,Nordeste,8.0,1209.295,9674.36
73,2024-06-05,Cliente_048,Smartphone,Celulares,Norte,7.0,2326.58,16286.06
74,2024-05-18,Cliente_048,Tablet,Celulares,Norte,6.0,1909.54,11457.24
76,2024-06-03,Cliente_036,Tablet,Celulares,Nordeste,6.0,1724.88,10349.28
78,2024-09-01,Cliente_044,Notebook,Computadores,Sudeste,5.0,3963.12,19815.6
79,2024-06-04,Cliente_039,Smartphone,Celulares,Norte,3.0,2405.35,7216.049999999999
80,2024-08-14,Cliente_004,Smartphone,Celulares,Norte,9.0,2121.05,19089.45
83,2024-11-16,Cliente_015,Notebook,Computadores,Sul,4.0,3945.11,15780.44
85,2024-05-19,Cliente_028,Monitor,Computadores,Nordeste,5.0,1271.9,6359.5
94,2024-05-04,Cliente_048,Monitor,Computadores,Sul,8.0,1372.89,10983.12
97,2024-04-06,Cliente_027,Monitor,Computadores,Sudeste,8.0,1355.83,10846.64
98,2024-07-14,Cliente_032,Tablet,Celulares,Sudeste,8.0,1910.82,15286.56
99,2024-06-18,Cliente_030,Smartphone,Celulares,Sudeste,9.0,2507.13,22564.170000000002
106,2024-08-14,Cliente_045,Tablet,Celulares,Nordeste,9.0,1615.31,14537.789999999999
107,2024-07-15,Cliente_019,Monitor,Computadores,Nordeste,5.0,1091.72,5458.6
108,2024-10-16,Cliente_048,Notebook,Computadores,Centro-Oeste,7.0,3263.2,22842.399999999998
111,2024-03-30,Cliente_033,Tablet,Celulares,Nordeste,6.0,1933.64,11601.84
113,2024-12-11,Cliente_026,Smartphone,Celulares,Sudeste,4.0,2437.69,9750.76
114,2024-07-07,Cliente_024,Tablet,Celulares,Sudeste,9.0,1596.74,14370.66
119,2024-12-17,Cliente_018,Smartphone,Celulares,Sul,6.0,1935.57,11613.42
120,2024-04-18,Cliente_016,Notebook,Computadores,Sul,8.0,3071.26,24570.08
122,2024-03-15,Cliente_002,Notebook,Computadores,Sul,5.0,3876.33,19381.65
123,2024-05-01,Cliente_027,Notebook,Computadores,Norte,6.0,1209.295,7255.77
124,2024-07-04,Cliente_003,Notebook,Computadores,Norte,2.0,3475.06,6950.12
125,2024-01-16,Cliente_032,Tablet,Celulares,Centro-Oeste,8.0,1877.4,15019.2
126,2024-03-16,Cliente_021,Notebook,Computadores,Centro-Oeste,2.0,3313.22,6626.44
129,2024-03-19,Cliente_028,Tablet,Celulares,Sudeste,5.0,1732.12,8660.599999999999
134,2024-06-07,Cliente_043,Notebook,Computadores,Centro-Oeste,3.0,3261.93,9785.789999999999
135,2024-01-16,Cliente_011,Notebook,Computadores,Nordeste,3.0,3753.02,11259.06
136,2024-10-17,Cliente_004,Tablet,Celulares,Sudeste,6.0,1949.49,11696.94
137,2024-09-05,Cliente_023,Tablet,Celulares,Centro-Oeste,8.0,1887.45,15099.6
138,2024-10-30,Cliente_039,Notebook,Computadores,Sudeste,5.0,3687.13,18435.65
139,2024-04-18,Cliente_032,Notebook,Computadores,Centro-Oeste,4.0,3291.49,13165.96
140,2024-12-26,Cliente_026,Smartphone,Celulares,Sudeste,3.0,2120.94,6362.82
142,2024-06-15,Cliente_024,Notebook,Computadores,Sudeste,7.0,2996.9,20978.3
146,2024-08-17,Cliente_021,Monitor,Computadores,Nordeste,10.0,1293.56,12935.599999999999
147,2024-08-14,Cliente_005,Smartphone,Celulares,Nordeste,8.0,1915.07,15320.56
148,2024-07-07,Cliente_040,Monitor,Computadores,Norte,8.0,1033.54,8268.32
150,2024-03-18,Cliente_046,Tablet,Celulares,Sudeste,10.0,1786.84,17868.399999999998
152,2024-12-13,Cliente_007,Monitor,Computadores,Norte,7.0,1298.81,9091.67
154,2024-12-23,Cliente_036,Tablet,Celulares,Centro-Oeste,5.0,2052.56,10262.8
159,2024-05-01,Cliente_015,Notebook,Computadores,Norte,7.0,3357.51,23502.57
160,2024-08-28,Cliente_029,Smartphone,Celulares,Centro-Oeste,5.0,2507.29,12536.45
162,2024-10-10,Cliente_006,Notebook,Computadores,Sul,8.0,3892.82,31142.56
